Name	Set	Imagefile	Copies	Type	Class/Encounter Set	Unique	Traits	Number	Script
Roland Banks The Fed	Core	AHC01_1a,AHC01_1b	1	Investigator	Guardian	*	Agency. Detective	1	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Roland Banks Mini Card	Core	AHC01_1mini,AHC01_1bmini	1	Investigator Mini Card					
Daisy Walker The Librarian	Core	AHC01_2a,AHC01_2b	1	Investigator	Seeker	*	Miskatonic.	2	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Daisy Walker Mini Card	Core	AHC01_2mini,AHC01_2bmini	1	Investigator Mini Card					
Skids OToole The Ex-Con	Core	AHC01_3a,AHC01_3b	1	Investigator	Rogue	*	Criminal.	3	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Skids OToole Mini Card	Core	AHC01_3mini,AHC01_3bmini	1	Investigator Mini Card					
Agnes Baker The Waitress	Core	AHC01_4a,AHC01_4b	1	Investigator	Mystic	*	Sorcerer	4	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Agnes Baker Mini Card	Core	AHC01_4mini,AHC01_4bmini	1	Investigator Mini Card					
Wendy Adams The Urchin	Core	AHC01_5a,AHC01_5b	1	Investigator	Survivor	*	Drifter.	5	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Wendy Adams Mini Card	Core	AHC01_5mini,AHC01_5bmini	1	Investigator Mini Card					
Rolands 38 Special	Core	AHC01_6	1	Asset	Starter	*	Item. Weapon. Firearm.	6	
Cover Up	Core	AHC01_7	1	Treachery	Weakness		Task.	7	
Daisys Tote Bag	Core	AHC01_8	1	Asset	Starter	*	Item.	8	
The Necronomicon (John D. Translation)	Core	AHC01_9	1	Asset	Weakness		Item. Tome.	9	
On The Lam	Core	AHC01_10	1	Event	Starter		Tactic.	10	
Faculty Offices (The Night is Still Young)	TDL	AHC02_54,AHC02_54b	1	Location	Extracurricular Activity
Faculty Offices (The Hour is Late)	TDL	AHC02_55,AHC02_55b	1	Location	Extracurricular Activity
Science Building	TDL	AHC02_56,AHC02_56b	1	Location	Extracurricular Activity
Alchemy Labs	TDL	AHC02_57,AHC02_57b	1	Location	Extracurricular Activity
The Experiment	TDL	AHC02_58,encounter	1	Enemy	Extracurricular Activity
Alchemical Concoction	TDL	AHC02_59	1	Asset	Extracurricular Activity
Jazz Mulligan	TDL	AHC02_60	1	Asset	Extracurricular Activity
Professor Warren Rice	TDL	AHC02_61	1	Asset	Extracurricular Activity
The House Always Wins 1	TDL	AHC02_62,AHC02_62b	1	Scenario	The House Always Wins
The Clover Club	TDL	AHC02_63,AHC02_63b	1	Agenda	The House Always Wins
Underground Muscle	TDL	AHC02_64,AHC02_64b	1	Agenda	The House Always Wins
Chaos in the Clover Club	TDL	AHC02_65,AHC02_65b	1	Agenda	The House Always Wins
Beginners Luck	TDL	AHC02_66,AHC02_66b	1	Act	The House Always Wins
Skin Game	TDL	AHC02_67,AHC02_67b	1	Act	The House Always Wins
All In	TDL	AHC02_68,AHC02_68b	1	Act	The House Always Wins
Fold	TDL	AHC02_69,AHC02_69b	1	Act	The House Always Wins
La Bella Luna	TDL	AHC02_70,AHC02_70b	1	Location	The House Always Wins
Clover Club Lounge	TDL	AHC02_71,AHC02_71b	1	Location	The House Always Wins
Clover Club Bar	TDL	AHC02_72,AHC02_72b	1	Location	The House Always Wins
Clover Club Cardroom	TDL	AHC02_73,AHC02_73b	1	Location	The House Always Wins
Darkened Hall	TDL	AHC02_74,AHC02_74b	1	Location	The House Always Wins
Back Hall Doorway 1	TDL	AHC02_75,AHC02_75b	1	Location	The House Always Wins
Back Hall Doorway 2	TDL	AHC02_76,AHC02_76b	1	Location	The House Always Wins
Back Hall Doorway 3	TDL	AHC02_77,AHC02_77b	1	Location	The House Always Wins
Clover Club Pit Boss	TDL	AHC02_78,encounter	1	Enemy	The House Always Wins
Peter Clover	TDL	AHC02_79	1	Asset	The House Always Wins
Dr. Francis Morgan	TDL	AHC02_80	1	Asset	The House Always Wins
Something in the Drinks	TDL	AHC02_81,encounter	2	Treachery	The House Always Wins
Arousing Suspicions	TDL	AHC02_82,encounter	2	Treachery	The House Always Wins
Visions of Futures Past	TDL	AHC02_83,encounter	3	Treachery	Sorcery
Beyond the Veil	TDL	AHC02_84,encounter	3	Treachery	Sorcery
Light of Aforgomon	TDL	AHC02_85,encounter	2	Treachery	Bishops Thralls
Thrall	TDL	AHC02_86,encounter	3	Enemy	Bishops Thralls
Wizard of Yog-Sothoth	TDL	AHC02_87,encounter	1	Enemy	Bishops Thralls
Unhallowed Country	TDL	AHC02_88,encounter	2	Treachery	Dunwich
Sordid and Silent	TDL	AHC02_89,encounter	2	Treachery	Dunwich
Whippoorwill	TDL	AHC02_90,encounter	3	Enemy	Whippoorwills
Eager for Death	TDL	AHC02_91,encounter	2	Treachery	Whippoorwills
Cursed Luck	TDL	AHC02_92,encounter	3	Treachery	Bad Luck
Twist of Fate	TDL	AHC02_93,encounter	3	Treachery	Bad Luck
Avian Thrall	TDL	AHC02_94,encounter	2	Enemy	Beast-Thralls
Lupine Thrall	TDL	AHC02_95,encounter	2	Enemy	Beast-Thralls
Altered Beast	TDL	AHC02_96,encounter	2	Treachery	Beast-Thralls
OBannions Thug	TDL	AHC02_97,encounter	2	Enemy	Naomis Crew
Mobster	TDL	AHC02_98,encounter	2	Enemy	Naomis Crew
Hunted Down	TDL	AHC02_99,encounter	2	Treachery	Naomis Crew
Pushed into the Beyond	TDL	AHC02_100,encounter	2	Treachery	The Beyond
Terror from Beyond	TDL	AHC02_101,encounter	2	Treachery	The Beyond
Arcane Barrier	TDL	AHC02_102,encounter	2	Treachery	The Beyond
Conglomeration of Spheres	TDL	AHC02_103,encounter	2	Enemy	Hideous Abominations
Servant of the Lurker	TDL	AHC02_104,encounter	1	Enemy	Hideous Abominations
Emergency Aid	TDL_TMM	AHC03_105	2	Event	Guardian
Brother Xavier	TDL_TMM	AHC03_106	2	Asset	Guardian
I've got a plan!	TDL_TMM	AHC03_107	2	Event	Seeker
Pathfinder	TDL_TMM	AHC03_108	2	Asset	Seeker
Contraband	TDL_TMM	AHC03_109	2	Event	Rogue
Adaptable	TDL_TMM	AHC03_110	2	Asset	Rogue
Delve Too Deep	TDL_TMM	AHC03_111	2	Event	Mystic
Song of the Dead	TDL_TMM	AHC03_112	2	Asset	Mystic
Oops!	TDL_TMM	AHC03_113	2	Event	Survivor
Fire Extinguisher	TDL_TMM	AHC03_114	2	Asset	Survivor
Flare	TDL_TMM	AHC03_115	2	Event	Neutral
Smoking Pipe	TDL_TMM	AHC03_116	2	Asset	Neutral
Painkillers	TDL_TMM	AHC03_117	2	Asset	The Miskatonic Museum
The Miskatonic Museum 1	TDL_TMM	AHC03_118,AHC03_118b	1	Scenario	The Miskatonic Museum
The Miskatonic Museum 2	TDL_TMM	AHC03_118c,AHC03_118d	1	Scenario	The Miskatonic Museum
Restricted Acess Agenda 1	TDL_TMM	AHC03_119,AHC03_119b	1	Agenda	The Miskatonic Museum
Shadows Deepen Agenda 2	TDL_TMM	AHC03_120,AHC03_120b	1	Agenda	The Miskatonic Museum
In Every Shadow Agenda 3	TDL_TMM	AHC03_121,AHC03_121b	1	Agenda	The Miskatonic Museum
Finding A Way Inside Act 1	TDL_TMM	AHC03_122,AHC03_122b	1	Act	The Miskatonic Museum
Night at the Museum	TDL_TMM	AHC03_123,AHC03_123b	1	Act	The Miskatonic Museum
Breaking and Entering	TDL_TMM	AHC03_124,AHC03_124b	1	Act	The Miskatonic Museum
Searching for the Tome Act 4	TDL_TMM	AHC03_125,AHC03_125b	1	Act	The Miskatonic Museum
Museum Entrance	TDL_TMM	AHC03_126,AHC03_126b	1	Location	The Miskatonic Museum
Museum Halls	TDL_TMM	AHC03_127,AHC03_127b	1	Location	The Miskatonic Museum
Security Office 1	TDL_TMM	AHC03_128,AHC03_128b	1	Location	The Miskatonic Museum
Security Office 2	TDL_TMM	AHC03_129,AHC03_129b	1	Location	The Miskatonic Museum
Administration Office 1	TDL_TMM	AHC03_130,AHC03_130b	1	Location	The Miskatonic Museum
Administration Office 2	TDL_TMM	AHC03_131,AHC03_131b	1	Location	The Miskatonic Museum
Exhibit Hall 1	TDL_TMM	AHC03_132,AHC03_132b	1	Location	The Miskatonic Museum
Exhibit Hall 2	TDL_TMM	AHC03_133,AHC03_133b	1	Location	The Miskatonic Museum
Exhibit Hall 3	TDL_TMM	AHC03_134,AHC03_134b	1	Location	The Miskatonic Museum
Exhibit Hall 4	TDL_TMM	AHC03_135,AHC03_135b	1	Location	The Miskatonic Museum
Exhibit Hall 5	TDL_TMM	AHC03_136,AHC03_136b	1	Location	The Miskatonic Museum
Exhibit Hall 6	TDL_TMM	AHC03_137,AHC03_137b	1	Location	The Miskatonic Museum
Harold Walsted	TDL_TMM	AHC03_138,encounter	1	Asset	The Miskatonic Museum
Adam Lynch	TDL_TMM	AHC03_139,encounter	1	Asset	The Miskatonic Museum
The Necronomicon (Olaus Wormius Translation)	TDL_TMM	AHC03_140,encounter	1	Asset	The Miskatonic Museum
Hunting Horror	TDL_TMM	AHC03_141,encounter	1	Enemy	The Miskatonic Museum
Shadow-spawned	TDL_TMM	AHC03_142,encounter	1	Treachery	The Miskatonic Museum
Stalked in the Dark	TDL_TMM	AHC03_143,encounter	2	Treachery	The Miskatonic Museum
Passage into the Veil	TDL_TMM	AHC03_144,encounter	3	Treachery	The Miskatonic Museum
Ephemeral Exhibits	TDL_TMM	AHC03_145,encounter	2	Treachery	The Miskatonic Museum
Slithering Behind You	TDL_TMM	AHC03_146,encounter	2	Treachery	The Miskatonic Museum
Carnevale of Horrors 1	CoH	AHCoH_01,AHCoH_01b	1	Scenario	Carnevale of Horrors
The Festivities Begin	CoH	AHCoH_02,AHCoH_02b	1	Agenda	Carnevale of Horrors
The Shadow of the Eclipse	CoH	AHCoH_03,AHCoH_32b	1	Agenda	Carnevale of Horrors
Chaos at the Carnevale	CoH	AHCoH_04,AHCoH_04b	1	Agenda	Carnevale of Horrors
The Carnevale Conspiracy	CoH	AHCoH_05,AHCoH_05b	1	Act	Carnevale of Horrors
Get to the Boats!	CoH	AHCoH_06,AHCoH_06b	1	Act	Carnevale of Horrors
Row!	CoH	AHCoH_07,AHCoH_07b	1	Act	Carnevale of Horrors
San Marco Basilica	CoH	AHCoH_08b,AHCoH_08	1	Location	Carnevale of Horrors
Canal-side	CoH	AHCoH_09b,AHCoH_09	1	Location	Carnevale of Horrors
Streets of Venice	CoH	AHCoH_10b,AHCoH_10	1	Location	Carnevale of Horrors
Rialto Bridge	CoH	AHCoH_11b,AHCoH_11	1	Location	Carnevale of Horrors
Venetian Garden	CoH	AHCoH_12b,AHCoH_12	1	Location	Carnevale of Horrors
Bridge of Sighs	CoH	AHCoH_13b,AHCoH_13	1	Location	Carnevale of Horrors
Flooded Square	CoH	AHCoH_14b,AHCoH_14	1	Location	Carnevale of Horrors
Accademia Bridge	CoH	AHCoH_15b,AHCoH_15	1	Location	Carnevale of Horrors
The Guardian	CoH	AHCoH_16b,AHCoH_16	1	Location	Carnevale of Horrors
Don Ligorio: Secret Servant	CoH	AHCoH_17b,AHCoH_17	1	Enemy	Carnevale of Horrors
Elisabeth Margo: High Servant of the Order	CoH	AHCoH_18b,AHCoH_18	1	Enemy	Carnevale of Horrors
Salvatore Neri: Master of Illusions	CoH	AHCoH_19b,AHCoH_19	1	Enemy	Carnevale of Horrors
Savio Corvi: Dark Lurker	CoH	AHCoH_20b,AHCoH_20	1	Enemy	Carnevale of Horrors
Innocent Reveler	CoH	AHCoH_21b-23b,AHCoH_21-23	3	Asset	Carnevale of Horrors
Abbess Allegria Di Biase: Most Blessed	CoH	AHCoH_24	1	Asset	Carnevale of Horrors
Bauta	CoH	AHCoH_25	1	Asset	Carnevale of Horrors
Gilded Voto	CoH	AHCoH_26	1	Asset	Carnevale of Horrors
Medico Della Peste	CoH	AHCoH_27	1	Asset	Carnevale of Horrors
Pantalone	CoH	AHCoH_28	1	Asset	Carnevale of Horrors
Cnidathqua: The Many-armed Beast	CoH	AHCoH_29,encounter	1	Enemy	Carnevale of Horrors
Poleman	CoH	AHCoH_30,encounter	2	Enemy	Carnevale of Horrors
Carnevale Sentinel	CoH	AHCoH_31,encounter	3	Enemy	Carnevale of Horrors
Writhing Appendage	CoH	AHCoH_32,encounter	3	Enemy	Carnevale of Horrors
Mass Hysteria	CoH	AHCoH_33,encounter	3	Treachery	Carnevale of Horrors
Lost in Venice	CoH	AHCoH_34,encounter	3	Treachery	Carnevale of Horrors
Watchers Gaze	CoH	AHCoH_35,encounter	3	Treachery	Carnevale of Horrors
Chaos in the Water	CoH	AHCoH_36,encounter	3	Treachery	Carnevale of Horrors
Mesmerize	CoH	AHCoH_37,encounter	2	Treachery	Carnevale of Horrors
Abduction	CoH	AHCoH_38,encounter	2	Treachery	Carnevale of Horrors
Acrid Miasma	CoH	AHCoH_39,encounter	2	Treachery	Carnevale of Horrors
Bandolier	TDL_ECE	AHC04_147	2	Asset	Guardian
Stand Together (Level 3)	TDL_ECE	AHC04_148	2	Event	Guardian
Art Student	TDL_ECE	AHC04_149	2	Asset	Seeker
Deduction (Level 2)	TDL_ECE	AHC04_150	2	Skill	Seeker
I'm outta here!	TDL_ECE	AHC04_151	2	Event	Rogue
Switchblade (Level 2)	TDL_ECE	AHC04_152	2	Asset	Rogue
Hypnotic Gaze	TDL_ECE	AHC04_153	2	Event	Mystic
Shriveling (Level 3)	TDL_ECE	AHC04_154	2	Asset	Mystic
Newspaper	TDL_ECE	AHC04_155	2	Asset	Survivor
Lure (Level 1)	TDL_ECE	AHC04_156	2	Event	Survivor
Relic Hunter (Level 3)	TDL_ECE	AHC04_157	2	Asset	Neutral
Charisma (Level 3)	TDL_ECE	AHC04_158	2	Asset	Neutral
Essex County Express Scenario	TDL_ECE	AHC04_159,AHC04_159b	1	Scenario	Essex County Express
Agenda 1- A Tear In Reality	TDL_ECE	AHC04_160,AHC04_160b	1	Agenda	Essex County Express
Agenda 2- The Maw Widens	TDL_ECE	AHC04_161,AHC04_161b	1	Agenda	Essex County Express
Agenda 3- Rolling Backwards	TDL_ECE	AHC04_162,AHC04_162b	1	Agenda	Essex County Express
Agenda 4- Drawn In	TDL_ECE	AHC04_163,AHC04_163b	1	Agenda	Essex County Express
Agenda 5- Out of Time	TDL_ECE	AHC04_164,AHC04_164b	1	Agenda	Essex County Express
Act 1- Run!	TDL_ECE	AHC04_165,AHC04_165b	1	Act	Essex County Express
Act 2- Get the Engine Running	TDL_ECE	AHC04_166, AHC04_166b	1	Act	Essex County Express
Train Car 1	TDL_ECE	AHC04_167,AHC04_167b	1	Location	Essex County Express
Train Car 2	TDL_ECE	AHC04_168,AHC04_168b	1	Location	Essex County Express
Train Car 3	TDL_ECE	AHC04_169,AHC04_169b	1	Location	Essex County Express
Train Car 4	TDL_ECE	AHC04_170,AHC04_170b	1	Location	Essex County Express
Train Car 5	TDL_ECE	AHC04_171,AHC04_171b	1	Location	Essex County Express
Train Car 6	TDL_ECE	AHC04_172,AHC04_172b	1	Location	Essex County Express
Train Car 7	TDL_ECE	AHC04_173,AHC04_173b	1	Location	Essex County Express
Train Car 8	TDL_ECE	AHC04_174,AHC04_174b	1	Location	Essex County Express
Engine Car 1	TDL_ECE	AHC04_175,AHC04_175b	1	Location	Essex County Express
Engine Car 2	TDL_ECE	AHC04_176,AHC04_176b	1	Location	Essex County Express
Engine Car 2	TDL_ECE	AHC04_177,AHC04_177b	1	Location	Essex County Express
Across Space and Time	TDL_ECE	AHC04_178	4	Weakness	Essex County Express
Helpless Passenger	TDL_ECE	AHC04_179	1	Asset	Essex County Express
Claws of Steam	TDL_ECE	AHC04_180,encounter	3	Treachery	Essex County Express
Broken Rails	TDL_ECE	AHC04_181,encounter	3	Treachery	Essex County Express
Grappling Horror	TDL_ECE	AHC04_182,encounter	2	Enemy	Essex County Express
Emergent Monstrocity	TDL_ECE	AHC04_183,encounter	2	Enemy	Essex County Express
Prepared for the Worst	TDL_BotA	AHC05_184	2	Event	Blood on the Altar
Keen Eye (Level 3)	TDL_BotA	AHC05_185	2	Asset	Blood on the Altar
Preposterous Sketches	TDL_BotA	AHC05_186	2	Event	Blood on the Altar
Higher Education (Level 3)	TDL_BotA	AHC05_187	2	Asset	Blood on the Altar
Lone Wolf	TDL_BotA	AHC05_188	2	Asset	Blood on the Altar
Streetwise (Level 3)	TDL_BotA	AHC05_189	2	Asset	Blood on the Altar
Defiance	TDL_BotA	AHC05_190	2	Skill	Blood on the Altar
Blood Pact (Level 3)	TDL_BotA	AHC05_191	2	Asset	Blood on the Altar
Rise to the Occasion	TDL_BotA	AHC05_192	2	Skill	Blood on the Altar
Scrapper (Level 3)	TDL_BotA	AHC05_193	2	Asset	Blood on the Altar
Emergency Cache (Level 2)	TDL_BotA	AHC05_194	2	Event	Blood on the Altar
Blood on the Altar Scenario	TDL_BotA	AHC05_195,AHC05_195b	1	Scenario	Blood on the Altar
Agenda 1- Strange Disappearances	TDL_BotA	AHC05_196,AHC05_196b	1	Agenda	Blood on the Altar
Agenda 2- The Old Ones Hunger	TDL_BotA	AHC05_197,AHC05_197b	1	Agenda	Blood on the Altar
Agenda 3- Feed the Beast	TDL_BotA	AHC05_198,AHC05_198b	1	Agenda	Blood on the Altar
Act 1- Searching for Answers	TDL_BotA	AHC05_199,AHC05_199b	1	Act	Blood on the Altar
Act 2- The Chamber of the Beast	TDL_BotA	AHC05_200,AHC05_200b	1	Act	Blood on the Altar
Village Commons	TDL_BotA	AHC05_201,AHC05_201b	1	Location	Blood on the Altar
Bishop's Brook 1	TDL_BotA	AHC05_202,AHC05_202b	1	Location	Blood on the Altar
Bishop's Brook 2	TDL_BotA	AHC05_203,AHC05_203b	1	Location	Blood on the Altar
Burned Ruins 1	TDL_BotA	AHC05_204,AHC05_204b	1	Location	Blood on the Altar
Burned Ruins 2	TDL_BotA	AHC05_205,AHC05_205b	1	Location	Blood on the Altar
Osborn's General Store 1	TDL_BotA	AHC05_206,AHC05_206b	1	Location	Blood on the Altar
Osborn's General Store 2	TDL_BotA	AHC05_207,AHC05_207b	1	Location	Blood on the Altar
Congregational Church 1	TDL_BotA	AHC05_208,AHC05_208b	1	Location	Blood on the Altar
Congregational Church 2	TDL_BotA	AHC05_209,AHC05_209b	1	Location	Blood on the Altar
House In The Reeds 1	TDL_BotA	AHC05_210,AHC05_210b	1	Location	Blood on the Altar
House In The Reeds 2	TDL_BotA	AHC05_211,AHC05_211b	1	Location	Blood on the Altar
Schoolhouse 1	TDL_BotA	AHC05_212,AHC05_212b	1	Location	Blood on the Altar
Schoolhouse 2	TDL_BotA	AHC05_213,AHC05_213b	1	Location	Blood on the Altar
The Hidden Chamber	TDL_BotA	AHC05_214,encounter	1	Location	Blood on the Altar
Key To The Chamber	TDL_BotA	AHC05_215,encounter	1	Asset	Blood on the Altar
Silas Bishop	TDL_BotA	AHC05_216,encounter	1	Enemy	Blood on the Altar
Zebulon Whateley	TDL_BotA	AHC05_217,encounter	1	Asset	Blood on the Altar
Earl Sawyer	TDL_BotA	AHC05_218,encounter	1	Asset	Blood on the Altar
Powder Of Ibn-Ghazi	TDL_BotA	AHC05_219,encounter	1	Asset	Blood on the Altar
Kidnapped!	TDL_BotA	AHC05_220,encounter	3	Treachery	Blood on the Altar
Psychopomp's Song	TDL_BotA	AHC05_221,encounter	2	Treachery	Blood on the Altar
Strange Signs	TDL_BotA	AHC05_222,encounter	2	Treachery	Blood on the Altar
Rotting Remains	TDL_BotA	AHC05_223,encounter	3	Treachery	Blood on the Altar
Servant Of Many Mouths	TDL_BotA	AHC05_224,encounter	3	Enemy	Blood on the Altar
Knightfall, Part 1	KF	KF_001,KF_001b	1	Scenario	Knightfall
Setup	KF	KF_002,KF_002b	1	Scenario	Knightfall
Keywords	KF	KF_003,KF_003b	1	Scenario	Knightfall
Resolutions	KF	KF_004,KF_004b	1	Scenario	Knightfall
Scenario	KF	KF_005,KF_005b	1	Scenario	Knightfall
Act 1- Enter the Asylum	KF	KF_006,KF_006b	1	Act	Knightfall
Act 2- Clouded Judgement	KF	KF_007,KF_007b	1	Act	Knightfall
Act 3- Fear Itself	KF	KF_008,KF_008b	1	Act	Knightfall
Agenda 1- Vengeance of Bane	KF	KF_009,KF_009b	1	Agenda	Knightfall
Agenda 2- Knight Terrors	KF	KF_010,KF_010b	1	Agenda	Knightfall
Data Storage	KF	KF_011,KF_011b	1	Location	Knightfall
Data Ward: North	KF	KF_012,KF_012b	1	Location	Knightfall
Data Ward: West	KF	KF_013,KF_013b	1	Location	Knightfall
Data Ward: East	KF	KF_014,KF_014b	1	Location	Knightfall
Data Ward: South	KF	KF_015,KF_015b	1	Location	Knightfall
Perch	KF	KF_016,KF_016b	1	Location	Knightfall
Explosive Gel	KF	KF_017	1	Asset	Knightfall
Fear Toxin	KF	KF_018	4	Weakness	Fear Toxin
The Scarecrow	KF	KF_019,KF_019b	1	Location	Fear Toxin
The Scarecrow: Hallucination	KF	KF_019a,KF_019c	2	Location	Fear Toxin
Gas-Masked Thug	KF	KF_020	4	Enemy	Fear Toxin
Toxic Neuropathy	KF	KF_021	4	Treachery	Fear Toxin
Vertigo	KF	KF_022	2	Treachery	Fear Toxin
Gunman	KF	KF_023	5	Enemy	Knightfall
Lunatic	KF	KF_024	4	Enemy	Knightfall
Double Time	KF	KF_025	3	Treachery	Knightfall
High Alert	KF	KF_026	2	Treachery	Knightfall
Riddle Me This	KF	KF_027	2	Treachery	Knightfall
Spotlight	KF	KF_028	2	Treachery	Knightfall
There he is!	KF	KF_029	2	Treachery	Knightfall
If it bleeds	TDL_UAU	AHC06_225	2	Event	Undimensioned and Unseen
Springfield M1903 (Level 4)	TDL_UAU	AHC06_226	2	Asset	Undimensioned and Unseen
Inquiring Mind	TDL_UAU	AHC06_227	2	Skill	Undimensioned and Unseen
Expose Weakness (Level 1)	TDL_UAU	AHC06_228	2	Event	Undimensioned and Unseen
Quick Thinking	TDL_UAU	AHC06_229	2	Skill	Undimensioned and Unseen
Lucky Dice (Level 2)	TDL_UAU	AHC06_230	2	Asset	Undimensioned and Unseen
Opportunist (Level 2)	TDL_UAU	AHC06_231	2	Skill	Undimensioned and Unseen
Alyssa Graham	TDL_UAU	AHC06_232	2	Asset	Undimensioned and Unseen
Rite of Seeking (Level 4)	TDL_UAU	AHC06_233	2	Asset	Undimensioned and Unseen
Dark Horse	TDL_UAU	AHC06_234	2	Asset	Undimensioned and Unseen
Survival Instinct (Level 2)	TDL_UAU	AHC06_235	2	Skill	Undimensioned and Unseen
Undimensioned and Unseen	TDL_UAU	AHC06_236,AHC06_236b	1	Scenario	Undimensioned and Unseen
Agenda 1- Rampaging Creatures	TDL_UAU	AHC06_237,AHC06_237b	1	Agenda	Undimensioned and Unseen
Ageda 2- Biding its time	TDL_UAU	AHC06_238,AHC06_238b	1	Agenda	Undimensioned and Unseen
Agenda 3- Horrors unleashed	TDL_UAU	AHC06_239,AHC06_239b	1	Agenda	Undimensioned and Unseen
Act 1- Saracenic Script	TDL_UAU	AHC06_240,AHC06_240b	1	Act	Undimensioned and Unseen
Act 2- They Must Be Destroyed	TDL_UAU	AHC06_241,AHC06_241b	1	Act	Undimensioned and Unseen
Dunwich Village 1	TDL_UAU	AHC06_242,AHC06_242b	1	Location	Undimensioned and Unseen
Dunwich Village 2	TDL_UAU	AHC06_243,AHC06_243b	1	Location	Undimensioned and Unseen
Cold Spring Glen 1	TDL_UAU	AHC06_244,AHC06_244b	1	Location	Undimensioned and Unseen
Cold Spring Glen 2	TDL_UAU	AHC06_245,AHC06_245b	1	Location	Undimensioned and Unseen	
Ten Acre Meadow 1	TDL_UAU	AHC06_246,AHC06_246b	1	Location	Undimensioned and Unseen	
Ten Acre Meadow 2	TDL_UAU	AHC06_247,AHC06_247b	1	Location	Undimensioned and Unseen	
Blasted Hearth 1	TDL_UAU	AHC06_248,AHC06_248b	1	Location	Undimensioned and Unseen	
Blasted Hearth 2	TDL_UAU	AHC06_249,AHC06_249b	1	Location	Undimensioned and Unseen	
Whateley Ruins 1	TDL_UAU	AHC06_250,AHC06_250b	1	Location	Undimensioned and Unseen	
Whateley Ruins 2	TDL_UAU	AHC06_251,AHC06_251b	1	Location	Undimensioned and Unseen	
Devils Hop Yard 1	TDL_UAU	AHC06_252,AHC06_252b	1	Location	Undimensioned and Unseen	
Devils Hop Yard 2	TDL_UAU	AHC06_253,AHC06_253b	1	Location	Undimensioned and Unseen	
Esoteric Formula	TDL_UAU	AHC06_254	4	Asset	Undimensioned and Unseen	
Brood of Yog-Sothoth	TDL_UAU	AHC06_255	5	Enemy	Undimensioned and Unseen	
Towering Beasts		TDL_UAU	AHC06_256	4	Treachery	Undimensioned and Unseen
Ruin and Destruction	TDL_UAU	AHC06_257	3	Treachery	Undimensioned and Unseen	
Attracting Attention	TDL_UAU	AHC06_258	2	Treachery	Undimensioned and Unseen	
The Creatures Tracks	TDL_UAU	AHC06_259	2	Treachery	Undimensioned and Unseen
Setup 1	TPW	TPW_001,TPW_001b	1	Scenario	The Pensher Wyrm
Setup 2	TPW	TPW_002,TPW_002b	1	Scenario	The Pensher Wyrm
Setup 3	TPW	TPW_003,TPW_003b	1	Scenario	The Pensher Wyrm
Setup 4	TPW	TPW_004,TPW_004b	1	Scenario	The Pensher Wyrm
Setup 5	TPW	TPW_005,TPW_005b	1	Scenario	The Pensher Wyrm
Setup 6	TPW	TPW_006,TPW_006b	1	Scenario	The Pensher Wyrm
Setup 7	TPW	TPW_007,TPW_007b	1	Scenario	The Pensher Wyrm
Setup 8	TPW	TPW_008	1	Scenario	The Pensher Wyrm
Agenda 1- The Village	TPW	TPW_009,TPW_009b	1	Agenda	The Pensher Wyrm
Agenda 2- A Hostile Reception	TPW	TPW_010,TPW_102b	1	Agenda	The Pensher Wyrm
Agenda 3- A Mad Cultists Plans	TPW	TPW_011,TPW_011b	1	Agenda	The Pensher Wyrm
Agenda 4- Time is Running Out	TPW	TPW_012,TPW_012b	1	Agenda	The Pensher Wyrm
Act 1- Questioning the Locals	TPW	TPW_013,TPW_013b	1	Act	The Pensher Wyrm
Act 2- Down in the Mines	TPW	TPW_014,TPW_014b	1	Act	The Pensher Wyrm
Act 3- The Fearful Wyrm	TPW	TPW_015,TPW_015b	1	Act	The Pensher Wyrm
Act 4- Cut in Two Halves	TPW	TPW_016,TPW_016b	1	Act	The Pensher Wyrm
Pit Foreman	TPW	TPW_017	1	Asset	The Pensher Wyrm
Robert Wallen	TPW	TPW_018	1	Asset	The Pensher Wyrm
John Lambton	TPW	TPW_019	1	Enemy	The Pensher Wyrm
The Pensher Wyrm	TPW	TPW_020	1	Enemy	The Pensher Wyrm
Mad Cultist	TPW	TPW_021	1	Enemy	The Pensher Wyrm
Opressive Gloom	TPW	TPW_022	3	Treachery	The Pensher Wyrm
Apprentice Miner	TPW	TPW_023	3	Enemy	The Pensher Wyrm
Haway Lads	TPW	TPW_024	2	Treachery	The Pensher Wyrm
Miner	TPW	TPW_025	3	Enemy	The Pensher Wyrm
Bucca	TPW	TPW_026	3	Enemy	The Pensher Wyrm
Cave In	TPW	TPW_027	3	Treachery	The Pensher Wyrm
Stygian Flock	TPW	TPW_028	2	Enemy	The Pensher Wyrm
Main Street	TPW	TPW_029,TPW_029b	1	Location	The Pensher Wyrm
Tea Rooms	TPW	TPW_030,TPW_030b	1	Location	The Pensher Wyrm
Mine 1	TPW	TPW_031,TPW_031b	1	Location	The Pensher Wyrm
Mine 2	TPW	TPW_032,TPW_032b	1	Location	The Pensher Wyrm
Train Station	TPW	TPW_033,TPW_033b	1	Location	The Pensher Wyrm
